% set_pose_wall_a_wp2_bis_lab_time_res_pose  right_arm  basic_scene + wall %
% right-left-both	planner_name	iteration	num_goal_pose	planning_time	execution_time	motion_success %
r	LBKPIECEConfigDefault	1	2	0.058	2.174	1
r	LBKPIECEConfigDefault	1	3	0.051	1.862	1
r	LBKPIECEConfigDefault	1	4	-1	-1	0
r	LBKPIECEConfigDefault	1	5	-1	-1	0
r	LBKPIECEConfigDefault	2	0	0.054	2.019	1
r	LBKPIECEConfigDefault	2	1	0.084	1.982	1
r	LBKPIECEConfigDefault	2	2	0.063	2.237	1
r	LBKPIECEConfigDefault	2	3	0.056	1.973	1
r	LBKPIECEConfigDefault	2	4	0.074	4.445	1
r	LBKPIECEConfigDefault	2	5	0.061	4.744	1
r	LBKPIECEConfigDefault	3	0	0.098	2.048	1
r	LBKPIECEConfigDefault	3	1	0.051	1.975	1
r	LBKPIECEConfigDefault	3	2	0.057	4.111	1
r	LBKPIECEConfigDefault	3	3	0.085	5.36	1
r	LBKPIECEConfigDefault	3	4	0.107	4.462	1
r	LBKPIECEConfigDefault	3	5	0.031	2.188	1
r	LBKPIECEConfigDefault	4	0	0.091	2.028	1
r	LBKPIECEConfigDefault	4	1	0.079	1.979	1
r	LBKPIECEConfigDefault	4	2	0.101	8.344	1
r	LBKPIECEConfigDefault	4	3	0.055	1.982	1
r	LBKPIECEConfigDefault	4	4	0.172	5.292	1
r	LBKPIECEConfigDefault	4	5	0.09	5.571	1
	RRTConnectConfigDefault	0	0	0.058	2.008	1
r	RRTConnectConfigDefault	0	1	0.078	1.97	1
r	RRTConnectConfigDefault	0	2	0.046	2.251	1
r	RRTConnectConfigDefault	0	3	0.053	1.978	1
r	RRTConnectConfigDefault	0	4	0.045	3.549	1
r	RRTConnectConfigDefault	0	5	0.045	2.189	1
r	RRTConnectConfigDefault	1	0	0.04	2.026	1
r	RRTConnectConfigDefault	1	1	0.049	6.268	1
r	RRTConnectConfigDefault	1	2	0.06	2.25	1
r	RRTConnectConfigDefault	1	3	0.147	6.402	1
r	RRTConnectConfigDefault	1	4	-1	-1	0
r	RRTConnectConfigDefault	1	5	-1	-1	0
r	RRTConnectConfigDefault	2	0	0.064	2.028	1
r	RRTConnectConfigDefault	2	1	0.054	1.967	1
r	RRTConnectConfigDefault	2	2	0.097	5.474	1
r	RRTConnectConfigDefault	2	3	0.097	2.116	1
r	RRTConnectConfigDefault	2	4	0.108	3.399	1
r	RRTConnectConfigDefault	2	5	-1	-1	0
r	RRTConnectConfigDefault	3	0	0.087	2.026	1
r	RRTConnectConfigDefault	3	1	0.04	1.977	1
r	RRTConnectConfigDefault	3	2	0.035	2.226	1
r	RRTConnectConfigDefault	3	3	-1	-1	0
r	RRTConnectConfigDefault	3	4	0.086	0.37	1
r	RRTConnectConfigDefault	3	5	0.074	3.109	1
r	RRTConnectConfigDefault	4	0	0.065	2.034	1
r	RRTConnectConfigDefault	4	1	0.044	1.979	1
r	RRTConnectConfigDefault	4	2	-1	-1	0
r	RRTConnectConfigDefault	4	3	-1	-1	0
r	RRTConnectConfigDefault	4	4	0.064	6.777	1
r	RRTConnectConfigDefault	4	5	0.053	2.272	1
r	RRTStarConfigDefault	0	0	0.046	1.999	1
r	RRTStarConfigDefault	0	1	0.048	1.988	1
r	RRTStarConfigDefault	0	2	0.046	2.247	1
r	RRTStarConfigDefault	0	3	0.061	2.069	1
r	RRTStarConfigDefault	0	4	0.074	1.965	1
r	RRTStarConfigDefault	0	5	0.08	2.009	1
r	RRTStarConfigDefault	1	0	0.038	2.09	1
r	RRTStarConfigDefault	1	1	0.067	1.979	1
r	RRTStarConfigDefault	1	2	0.059	2.23	1
r	RRTStarConfigDefault	1	3	0.066	4.775	1
r	RRTStarConfigDefault	1	4	-1	-1	0
