% file_pose_nothing_a_wp_time_res  right_arm  basic_scene %
% right-left-both	planner_name	iteration	num_goal_pose	planning_time	execution_time	motion_success %
r	LBKPIECEConfigDefault	4	1	0.044	1.234	1
r	LBKPIECEConfigDefault	4	2	0.076	2.111	1
r	LBKPIECEConfigDefault	4	3	0.067	1.981	1
r	LBKPIECEConfigDefault	4	4	0.067	1.748	1
r	RRTConnectConfigDefault	0	0	0.062	1.837	1
r	RRTConnectConfigDefault	0	1	0.052	1.241	1
r	RRTConnectConfigDefault	0	2	0.046	2.104	1
r	RRTConnectConfigDefault	0	3	0.058	1.982	1
r	RRTConnectConfigDefault	0	4	0.079	1.75	1
r	RRTConnectConfigDefault	1	0	0.075	1.91	1
r	RRTConnectConfigDefault	1	1	0.057	1.235	1
r	RRTConnectConfigDefault	1	2	0.05	2.109	1
r	RRTConnectConfigDefault	1	3	0.056	1.974	1
r	RRTConnectConfigDefault	1	4	0.062	1.755	1
r	RRTConnectConfigDefault	2	0	0.033	1.919	1
r	RRTConnectConfigDefault	2	1	0.042	1.251	1
r	RRTConnectConfigDefault	2	2	0.096	2.112	1
r	RRTConnectConfigDefault	2	3	0.08	1.96	1
r	RRTConnectConfigDefault	2	4	0.027	1.74	1
r	RRTConnectConfigDefault	3	0	0.079	1.918	1
r	RRTConnectConfigDefault	3	1	0.06	1.238	1
r	RRTConnectConfigDefault	3	2	0.052	2.11	1
r	RRTConnectConfigDefault	3	3	0.057	1.975	1
r	RRTConnectConfigDefault	3	4	0.038	1.74	1
r	RRTConnectConfigDefault	4	0	0.064	1.912	1
r	RRTConnectConfigDefault	4	1	0.066	1.23	1
r	RRTConnectConfigDefault	4	2	0.041	2.099	1
r	RRTConnectConfigDefault	4	3	0.078	1.966	1
r	RRTConnectConfigDefault	4	4	0.071	1.323	1
r	RRTStarConfigDefault	0	0	0.083	1.849	1
r	RRTStarConfigDefault	0	1	0.026	1.235	1
r	RRTStarConfigDefault	0	2	0.043	2.104	1
r	RRTStarConfigDefault	0	3	0.051	1.978	1
r	RRTStarConfigDefault	0	4	0.063	2.85	1
r	RRTStarConfigDefault	1	0	0.062	1.917	1
r	RRTStarConfigDefault	1	1	0.036	1.232	1
r	RRTStarConfigDefault	1	2	0.048	2.106	1
r	RRTStarConfigDefault	1	3	0.069	1.977	1
r	RRTStarConfigDefault	1	4	0.04	1.743	1
r	RRTStarConfigDefault	2	0	0.045	1.916	1
r	RRTStarConfigDefault	2	1	0.066	1.238	1
r	RRTStarConfigDefault	2	2	0.059	2.106	1
r	RRTStarConfigDefault	2	3	0.111	1.988	1
r	RRTStarConfigDefault	2	4	0.079	1.752	1
r	RRTStarConfigDefault	3	0	0.052	1.918	1
r	RRTStarConfigDefault	3	1	0.03	1.243	1
r	RRTStarConfigDefault	3	2	0.068	2.104	1
r	RRTStarConfigDefault	3	3	0.07	1.976	1
r	RRTStarConfigDefault	3	4	0.09	1.744	1
r	RRTStarConfigDefault	4	0	0.049	1.912	1
r	RRTStarConfigDefault	4	1	0.06	1.231	1
r	RRTStarConfigDefault	4	2	0.049	2.107	1
r	RRTStarConfigDefault	4	3	0.068	1.961	1
r	RRTStarConfigDefault	4	4	0.099	1.747	1
r	RRTConfigDefault	0	0	0.067	1.838	1
r	RRTConfigDefault	0	1	0.072	1.238	1
r	RRTConfigDefault	0	2	0.081	3.233	1
r	RRTConfigDefault	0	3	0.039	1.378	1
r	RRTConfigDefault	0	4	0.048	1.467	1
r	RRTConfigDefault	1	0	0.046	1.903	1
r	RRTConfigDefault	1	1	0.056	1.235	1
r	RRTConfigDefault	1	2	0.083	2.103	1
r	RRTConfigDefault	1	3	0.049	1.974	1
r	RRTConfigDefault	1	4	0.055	1.769	1
r	RRTConfigDefault	2	0	0.095	1.915	1
r	RRTConfigDefault	2	1	0.057	5.518	
r	RRTConfigDefault	2	2	0.054	2.132	1
r	RRTConfigDefault	2	3	0.071	1.972	1
r	RRTConfigDefault	2	4	0.038	1.743	1
r	RRTConfigDefault	3	0	0.068	1.912	1
r	RRTConfigDefault	3	1	0.058	1.237	1
r	RRTConfigDefault	3	2	0.087	2.102	1
r	RRTConfigDefault	3	3	0.072	2.079	1
r	RRTConfigDefault	3	4	0.063	1.739	1
r	RRTConfigDefault	4	0	0.093	1.857	1
r	RRTConfigDefault	4	1	0.111	1.23	1
r	RRTConfigDefault	4	2	0.039	2.113	1
r	RRTConfigDefault	4	3	0.045	1.979	1
r	RRTConfigDefault	4	4	0.043	1.748	1
r	SBLConfigDefault	0	0	0.108	1.833	1
r	SBLConfigDefault	0	1	0.042	1.232	1
r	SBLConfigDefault	0	2	0.047	3.973	1
r	SBLConfigDefault	0	3	0.039	1.908	1
r	SBLConfigDefault	0	4	0.056	1.74	1
r	SBLConfigDefault	1	0	0.093	1.874	1
r	SBLConfigDefault	1	1	0.06	1.219	1
r	SBLConfigDefault	1	2	0.057	2.109	1
r	SBLConfigDefault	1	3	0.042	1.972	1
r	SBLConfigDefault	1	4	0.087	1.748	1
r	SBLConfigDefault	2	0	0.041	1.919	1
r	SBLConfigDefault	2	1	0.073	1.242	1
r	SBLConfigDefault	2	2	0.064	2.103	1
r	SBLConfigDefault	2	3	0.093	1.978	1
r	SBLConfigDefault	2	4	0.038	1.759	1
r	SBLConfigDefault	3	0	0.101	1.857	1
r	SBLConfigDefault	3	1	0.112	1.232	1
r	SBLConfigDefault	3	2	0.064	2.113	1
r	SBLConfigDefault	3	3	0.038	1.974	1
r	SBLConfigDefault	3	4	0.048	1.741	1
r	SBLConfigDefault	4	0	0.055	1.912	1
r	SBLConfigDefault	4	1	0.059	1.232	1
r	SBLConfigDefault	4	2	0.074	2.102	1
r	SBLConfigDefault	4	3	0.065	1.979	1
r	SBLConfigDefault	4	4	0.062	3.493	1
