% set_pose_both_nothing_a_sim_time_res_pose  both_arms  basic_scene %
% right-left-both	planner_name	iteration	num_goal_pose	planning_time	execution_time	motion_success %
b	LBKPIECEConfigDefault	4	1	0.121	1.619	1
b	LBKPIECEConfigDefault	4	2	0.124	2.135	1
b	LBKPIECEConfigDefault	4	3	0.295	7.131	1
b	LBKPIECEConfigDefault	4	4	0.164	5.812	1
b	RRTConnectConfigDefault	0	0	0.079	2.226	1
b	RRTConnectConfigDefault	0	1	0.137	1.609	1
b	RRTConnectConfigDefault	0	2	0.171	2.001	1
b	RRTConnectConfigDefault	0	3	0.134	7.619	1
b	RRTConnectConfigDefault	0	4	0.215	6.854	1
b	RRTConnectConfigDefault	1	0	0.048	2.228	1
b	RRTConnectConfigDefault	1	1	0.174	1.623	1
b	RRTConnectConfigDefault	1	2	0.15	1.982	1
b	RRTConnectConfigDefault	1	3	0.16	6.788	1
b	RRTConnectConfigDefault	1	4	0.121	7.658	1
b	RRTConnectConfigDefault	2	0	0.098	2.216	1
b	RRTConnectConfigDefault	2	1	0.107	1.611	1
b	RRTConnectConfigDefault	2	2	0.119	1.99	1
b	RRTConnectConfigDefault	2	3	0.164	4.267	1
b	RRTConnectConfigDefault	2	4	0.224	5.752	1
b	RRTConnectConfigDefault	3	0	0.136	2.228	1
b	RRTConnectConfigDefault	3	1	0.041	1.62	1
b	RRTConnectConfigDefault	3	2	0.204	4.936	1
b	RRTConnectConfigDefault	3	3	0.252	8.221	1
b	RRTConnectConfigDefault	3	4	0.178	4.963	1
b	RRTConnectConfigDefault	4	0	0.246	2.224	1
b	RRTConnectConfigDefault	4	1	0.116	1.609	1
b	RRTConnectConfigDefault	4	2	0.141	1.973	1
b	RRTConnectConfigDefault	4	3	0.163	8.315	1
b	RRTConnectConfigDefault	4	4	-1	-1	0
b	RRTStarConfigDefault	0	0	0.157	2.224	1
b	RRTStarConfigDefault	0	1	0.191	1.624	1
b	RRTStarConfigDefault	0	2	0.162	1.995	1
b	RRTStarConfigDefault	0	3	0.253	7.78	1
b	RRTStarConfigDefault	0	4	0.12	11.398	1
b	RRTStarConfigDefault	1	0	0.23	2.214	1
b	RRTStarConfigDefault	1	1	0.063	1.616	1
b	RRTStarConfigDefault	1	2	0.122	1.986	1
b	RRTStarConfigDefault	1	3	0.159	8.595	1
b	RRTStarConfigDefault	1	4	0.289	15.734	1
b	RRTStarConfigDefault	2	0	0.125	3.29	1
b	RRTStarConfigDefault	2	1	0.162	1.615	1
b	RRTStarConfigDefault	2	2	0.185	1.916	1
b	RRTStarConfigDefault	2	3	-1	-1	0
b	RRTStarConfigDefault	2	4	0.126	2.819	1
b	RRTStarConfigDefault	3	0	0.235	2.221	1
b	RRTStarConfigDefault	3	1	0.114	1.607	1
b	RRTStarConfigDefault	3	2	0.149	2.557	1
b	RRTStarConfigDefault	3	3	0.201	7.86	1
b	RRTStarConfigDefault	3	4	0.23	8.55	1
b	RRTStarConfigDefault	4	0	0.119	2.219	1
b	RRTStarConfigDefault	4	1	0.16	1.602	1
b	RRTStarConfigDefault	4	2	0.149	2.734	1
b	RRTStarConfigDefault	4	3	0.176	10.117	1
b	RRTStarConfigDefault	4	4	0.109	5.529	1
b	RRTConfigDefault	0	0	0.137	2.216	1
b	RRTConfigDefault	0	1	0.143	1.622	1
b	RRTConfigDefault	0	2	0.122	1.987	1
b	RRTConfigDefault	0	3	0.108	7.119	1
b	RRTConfigDefault	0	4	0.118	7.655	1
b	RRTConfigDefault	1	0	0.184	46.882	1
b	RRTConfigDefault	1	1	0.13	1.629	1
b	RRTConfigDefault	1	2	0.113	4.774	1
b	RRTConfigDefault	1	3	0.29	7.475	1
b	RRTConfigDefault	1	4	0.168	8.133	1
b	RRTConfigDefault	2	0	0.226	2.229	1
b	RRTConfigDefault	2	1	0.094	1.617	1
b	RRTConfigDefault	2	2	0.149	5.619	1
b	RRTConfigDefault	2	3	-1	-1	0
b	RRTConfigDefault	2	4	0.173	7.879	1
b	RRTConfigDefault	3	0	0.136	2.216	1
b	RRTConfigDefault	3	1	0.185	1.614	1
b	RRTConfigDefault	3	2	0.252	1.997	1
b	RRTConfigDefault	3	3	0.199	7.017	1
b	RRTConfigDefault	3	4	0.308	10.441	1
b	RRTConfigDefault	4	0	0.115	2.216	1
b	RRTConfigDefault	4	1	0.129	1.612	1
b	RRTConfigDefault	4	2	0.169	1.987	1
b	RRTConfigDefault	4	3	0.208	6.024	1
b	RRTConfigDefault	4	4	0.112	6.086	1
b	SBLConfigDefault	0	0	0.103	2.217	1
b	SBLConfigDefault	0	1	0.11	1.617	1
b	SBLConfigDefault	0	2	0.102	1.974	1
b	SBLConfigDefault	0	3	0.346	6.768	1
b	SBLConfigDefault	0	4	0.237	6.585	1
b	SBLConfigDefault	1	0	0.057	2.216	1
b	SBLConfigDefault	1	1	0.101	1.613	1
b	SBLConfigDefault	1	2	0.163	1.976	1
b	SBLConfigDefault	1	3	0.151	8.479	1
b	SBLConfigDefault	1	4	0.26	17.293	1
b	SBLConfigDefault	2	0	0.208	2.219	1
b	SBLConfigDefault	2	1	0.067	1.62	1
b	SBLConfigDefault	2	2	0.112	1.985	1
b	SBLConfigDefault	2	3	0.222	7.664	1
b	SBLConfigDefault	2	4	0.122	6.964	1
b	SBLConfigDefault	3	0	0.177	2.221	1
b	SBLConfigDefault	3	1	0.136	1.608	1
b	SBLConfigDefault	3	2	0.113	1.976	1
b	SBLConfigDefault	3	3	0.14	5.169	1
b	SBLConfigDefault	3	4	0.213	7.473	1
b	SBLConfigDefault	4	0	0.061	2.224	1
b	SBLConfigDefault	4	1	0.057	1.608	1
b	SBLConfigDefault	4	2	0.165	8.829	1
b	SBLConfigDefault	4	3	0.153	8.551	1
b	SBLConfigDefault	4	4	-1	-1	0
